Campus,Year,Session,Subject,Course,Section,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,85-89.1,90-100.1
UBCO,2021.0,W,POLI,391.0,101,39.0,67.30769231,29.39401465,91.0,0.0,6.0,2.0,1.0,1.0,0.0,2.0,3.0,3.0,5.0,13.0,3.0,,
UBCO,2021.0,W,POLI,391.0,OVERALL,39.0,67.30769231,29.39401465,91.0,0.0,6.0,2.0,1.0,1.0,0.0,2.0,3.0,3.0,5.0,13.0,3.0,,
UBCO,2021.0,W,POLI,391.0,101,18.0,67.44444444,23.03762197,95.0,5.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,9.0,13.0
UBCO,2021.0,W,POLI,391.0,OVERALL,18.0,67.44444444,23.03762197,95.0,5.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,,
UBCO,2021.0,W,POLI,402.0,101,21.0,77.71428571,13.6533617,91.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,6.0,1.0,,6.0
UBCO,2021.0,W,POLI,402.0,OVERALL,21.0,77.71428571,13.6533617,91.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,6.0,1.0,,
UBCO,2021.0,W,POLI,432.0,1,27.0,79.14814815,8.614405215,93.0,64.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,4.0,5.0,4.0,,
UBCO,2021.0,W,POLI,432.0,OVERALL,27.0,79.14814815,8.614405215,93.0,64.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,4.0,5.0,4.0,8.0,
UBCO,2021.0,W,POLI,441.0,101,18.0,76.72222222,19.72697632,97.0,11.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,5.0,,
UBCO,2021.0,W,POLI,441.0,OVERALL,18.0,76.72222222,19.72697632,97.0,11.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,5.0,,
UBCO,2021.0,W,POLI,464.0,1,23.0,75.26086957,16.2989609,93.0,38.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,5.0,4.0,,
UBCO,2021.0,W,POLI,464.0,OVERALL,23.0,75.26086957,16.2989609,93.0,38.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,5.0,4.0,20.0,
UBCO,2021.0,W,POLI,464.0,101,24.0,82.125,5.45585047,91.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,9.0,8.0,2.0,16.0,
UBCO,2021.0,W,POLI,464.0,OVERALL,24.0,82.125,5.45585047,91.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,9.0,8.0,2.0,62.0,
UBCO,2021.0,W,POLI,464.0,1,24.0,75.79166667,9.577960056,91.0,48.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,4.0,6.0,2.0,1.0,,
UBCO,2021.0,W,POLI,464.0,OVERALL,24.0,75.79166667,9.577960056,91.0,48.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,4.0,6.0,2.0,1.0,7.0,
UBCO,2021.0,W,POLI,464.0,1,18.0,78.83333333,16.69889042,95.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,5.0,,
UBCO,2021.0,W,POLI,464.0,OVERALL,18.0,78.83333333,16.69889042,95.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,5.0,,
UBCO,2021.0,W,POLI,464.0,1,10.0,81.8,6.303438215,87.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0,,
UBCO,2021.0,W,POLI,464.0,OVERALL,10.0,81.8,6.303438215,87.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0,6.0,
UBCO,2021.0,W,POLI,465.0,1,26.0,79.46153846,11.6969424,94.0,42.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,7.0,2.0,7.0,,
UBCO,2021.0,W,POLI,465.0,101,23.0,79.95652174,9.974869609,91.0,50.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,7.0,3.0,,
